MaThuoc,TenThuoc,MoTa,DonGia,DonViTinh
TH001,Tobramycin nhỏ mắt,"Kháng sinh điều trị viêm kết mạc, viêm giác mạc",25000,lọ
TH002,Prednisolone nhỏ mắt,"Chống viêm, giảm đỏ và sưng mắt",30000,lọ
TH003,Acetazolamide 250mg,Hạ nhãn áp trong điều trị Glôcôm,5000,viên
TH004,Artificial Tears,Dung dịch nhỏ mắt bổ sung nước mắt nhân tạo,20000,lọ
TH005,Tropicamide 1%,Thuốc nhỏ mắt giãn đồng tử khi khám mắt,28000,lọ
TH006,Timolol 0.5%,Thuốc nhỏ mắt hạ nhãn áp trong Glôcôm,26000,lọ
TH007,Ketotifen nhỏ mắt,"Chống dị ứng mắt, giảm ngứa, đỏ",22000,lọ
TH008,Paracetamol 500mg,"Giảm đau, hạ sốt sau phẫu thuật hoặc chấn thương",1500,viên
TH009,Ibuprofen 400mg,Chống viêm giảm đau không steroid,2200,viên
TH010,Ceftriaxone 1g,Kháng sinh tiêm điều trị nhiễm khuẩn hậu phẫu,45000,lọ
TH011,Metronidazole 250mg,Kháng sinh chống viêm nhiễm đường tiêu hóa,1200,viên
TH012,Heparin tiêm,Thuốc chống đông sau phẫu thuật,70000,lọ
TH013,Omeprazole 20mg,Bảo vệ dạ dày khi dùng thuốc giảm đau NSAID,3200,viên
TH014,Tramadol 50mg,Giảm đau trung bình đến nặng,5000,viên
TH015,Metronidazole 250mg,Kháng khuẩn/ký sinh trùng kỵ khí,24000,viên
TH016,Ceftriaxone 1g,Kháng sinh cephalosporin thế hệ 3 (tiêm),85000,lọ
TH017,Gentamicin 80mg/2ml,Kháng sinh aminoglycosid (tiêm),52000,ống
TH018,Diclofenac 75mg,Giảm đau chống viêm NSAID (tiêm/uống),33000,viên
TH019,Ketorolac 30mg/ml,Giảm đau sau mổ (tiêm),65000,ống
TH020,Tranexamic acid 500mg,"Cầm máu, ức chế tiêu fibrin",40000,viên
TH021,ORS gói 27.9g,Bù nước điện giải trong tiêu chảy,7000,gói
TH022,Zinc sulfate 20mg,"Bổ sung kẽm, rút ngắn đợt tiêu chảy",9000,viên
TH023,Paracetamol siro 120mg/5ml,"Hạ sốt, giảm đau cho trẻ em",38000,chai
TH024,Amoxicillin siro 250mg/5ml,Kháng sinh điều trị nhiễm khuẩn hô hấp,52000,chai
TH025,Cefixime 100mg,Kháng sinh cephalosporin thế hệ 3,34000,viên
TH026,Montelukast 4mg,Kiểm soát hen/viêm mũi dị ứng trẻ em,30000,viên
TH027,Salbutamol siro,Giãn phế quản giảm khò khè,42000,chai
TH028,Loratadine 5mg/5ml,Kháng histamin giảm dị ứng,28000,chai
TH029,Multivitamin siro,Bổ sung vitamin tổng hợp cho trẻ,45000,chai
TH030,Albendazole 400mg,Tẩy giun phổ rộng,12000,viên
TH031,Sắt fumarat + Acid folic,Bổ sung sắt và folate cho thai kỳ,18000,viên
TH032,Calcium Carbonate 500mg,"Bổ sung canxi, phòng loãng xương",16000,viên
TH033,Magnesium B6,"Giảm chuột rút, an thần nhẹ",22000,viên
TH034,Vitamin D3 giọt,"Hỗ trợ hấp thu canxi, phát triển xương",60000,chai
TH035,Progesterone 200mg,"Hỗ trợ hoàng thể, dọa sảy thai",48000,viên
TH036,Ethinylestradiol + Levonorgestrel,Thuốc tránh thai phối hợp,38000,vỉ
TH037,Clotrimazole đặt 100mg,Điều trị nấm âm đạo,21000,đặt
TH038,Metronidazole đặt 500mg,Điều trị viêm âm đạo do vi khuẩn,24000,đặt
TH039,Oxytocin 10IU,"Gây/co cơn chuyển dạ, cầm máu sau sinh",52000,ống
TH040,Methyldopa 250mg,Điều trị tăng huyết áp thai kỳ,30000,viên
TH041,Natri clorid 0.9% nhỏ mũi,"Làm sạch mũi, giảm nghẹt",12000,lọ
TH042,Xylometazoline 0.05%,Co mạch giảm nghẹt mũi,26000,lọ
TH043,Chlorpheniramine 4mg,Kháng histamin giảm dị ứng,8000,viên
TH044,Cetirizine 10mg,Kháng histamin thế hệ 2,25000,viên
TH045,Fexofenadine 120mg,Kháng histamin ít gây buồn ngủ,36000,viên
TH046,Fluticasone xịt mũi,Corticoid xịt mũi giảm viêm dị ứng,95000,lọ
TH047,Ofloxacin nhỏ tai 0.3%,Kháng sinh điều trị viêm tai ngoài,52000,lọ
TH048,Acetylcysteine 200mg,"Long đờm, tiêu nhầy đường hô hấp",18000,gói
TH049,Guaifenesin 100mg/5ml,Ho long đờm,32000,chai
TH050,Dexamethasone 4mg,"Corticosteroid chống viêm, dị ứng",14000,viên
